Name_Unificado,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
"""Nuke It""",,,,,
#IDARB,,,,,
#killallzombies,,,,,
'70s Robot Anime: Geppy-X,,,,,
'98 Koshien,0.15,0.1,0.12,0.03,0.41
'99 Koshien,,,,,
'Splosion Man,,,,,
(c-12) Final Resistance,,,,,
- Arcane RERaise -,,,,,
- Arcane Raise -,,,,,
- Arcane preRaise -,,,,,
...Iru!,,,,,
.deTuned,,,,,
Dead Island Definitive Collection,0.14,0.11,0.03,0.04,0.31
Dead Island: Bloodbath Arena,,,,,
Dead Island: Riptide,0.7,0.48,0.08,0.17,1.4300000000000002
Dead Man's Hand,0.09,0.02,,0.0,0.11
Dead Meat,,,,,
Dead Meets Lead,,,,,
Dead Moon,,,,,
Dead Mountaineer's Hotel,,,,,
Dead Nation,,,,,
Dead Nation: Apocalypse Edition,,,,,
Dead Nation: Road of Devastation,,,,,
Dead Phoenix,,,,,
Dead Pixels,,,,,
Dead Realm,,,,,
Dead Reefs,,0.0,,,0.0
Dead Rising,0.07,,0.02,0.01,0.12
Dead Rising 2,1.25,1.1,0.26,0.36,2.97
Dead Rising 2: Case West,,,,,
Dead Rising 2: Case Zero,,,,,
Dead Rising 2: Off The Record,,,,,
Dead Rising 2: Off the Record,0.28,0.16,0.1,0.05,0.5900000000000001
Dead Rising 3,,,,,
Dead Rising 3: Apocalypse Edition,,,,,
Dead Rising 4,,,,,
Dead Rising 4: Frank's Big Package,0.08,0.05,,0.03,0.16
Dead Rising: Chop Till You Drop,0.15,0.07,0.05,0.02,0.29
Dead Space,1.94,1.59,,0.48,3.9899999999999998
Dead Space 2,1.7999999999999998,1.08,,0.38,3.27
Dead Space 2: Severed,,,,,
Dead Space 3,1.1099999999999999,0.8300000000000001,,0.27,2.21
Dead Space Extraction,0.32,0.1,0.01,0.04,0.47
Dead Space Ignition,,,,,
Dead State: Reanimated,,,,,
Dead Storm Pirates,,,,,
Dead Synchronicity: Tomorrow Comes Today,,,,,
Dead by Daylight,0.19,0.09,0.02,0.05,0.33999999999999997
Dead in the Water,0.03,0.02,,0.0,0.05
Dead or Alive,0.09,0.06,0.28,0.02,0.46
Dead or Alive 2,0.3,0.24,0.52,0.08,1.1400000000000001
Dead or Alive 3,,,,,
Dead or Alive 4,,,,,
Dead or Alive 5,0.43000000000000005,0.22999999999999998,0.24,0.1,0.98
Dead or Alive 5 Last Round,0.14,0.16,0.09999999999999999,0.05,0.44999999999999996
Dead or Alive 5 Plus,,0.06,0.03,0.02,0.1
Dead or Alive 5 Ultimate,,,,,
Dead or Alive 6,,,,,
Dead or Alive Paradise,0.08,0.02,0.07,0.02,0.2
Dead or Alive Ultimate,0.3,0.1,0.08,0.02,0.5
Dead or Alive Xtreme 2,0.15,0.02,0.06,0.02,0.25
Dead or Alive Xtreme 3: Fortune,,,0.06,,0.06
Dead or Alive Xtreme 3: Scarlet,,,,,
Dead or Alive Xtreme 3: Venus,,,0.05,,0.05
Dead or Alive Xtreme Beach Volleyball,0.36,0.08,0.14,0.02,0.59
Dead or Alive: Dimensions,0.13,0.22,0.07,0.03,0.45
Dead or School,,,,,
Dead to Rights,1.32,0.72,,0.2,2.24
Dead to Rights II,0.18,0.1,,0.03,0.31
Dead to Rights: Reckoning,0.12,,,0.01,0.13
Dead to Rights: Retribution,0.21000000000000002,0.2,0.02,0.07,0.49
Dead to Rights: Retribution - GAC Pack,,,,,
DeadCore,,,,,
Deadbreed,,,,,
Deadfall,,,,,
Deadfall Adventures,,0.01,,0.0,0.01
Deadliest Catch: Alaskan Storm,0.04,,,0.0,0.05
Deadliest Catch: Sea of Chaos,0.27,,,0.03,0.29
Deadliest Warrior: Ancient Combat,0.08,,,0.0,0.08
Deadliest Warrior: Legends,,,,,
Deadliest Warrior: The Game,,,,,
Deadlight,,,,,
Deadlight: Director's Cut,,,,,
Deadline,,,,,
Deadline A Go!,,,,,
Deadly 30,,,,,
Deadly Arts,0.03,0.01,,0.0,0.04
Deadly Creatures,0.08,0.12,,0.02,0.22
Deadly Duck,0.21,0.01,,0.0,0.22
Deadly Moves,,,,,
Deadly Premonition,0.18,0.06,0.0,0.02,0.26
Deadly Premonition: The Director's Cut,0.08,0.05,0.0,0.03,0.16
Deadly Tide,,,,,
Deadly Towers,,,,,
Deadpool,0.92,0.46,,0.22,1.5999999999999999
Deal or No Deal,2.36,0.41000000000000003,,0.25,3.02
Deal or No Deal: Special Edition,0.03,,,0.0,0.04
Deal or No Deal: The Banker is Back!,,0.21000000000000002,,0.0,0.21000000000000002
Dear Boys,,,,,
Dear Boys: Fast Break!,,,,,
Dear Daniel no Sweet Adventure: Kitty-Chan o Sagashite,,,,,
Dear Esther,,,,,
Dear Esther: Landmark Edition,,,,,
Dear Girl: Stories Hibiki - Hibiki Tokkun Daisakusen!,,,0.01,,0.01
Dear RED,,,,,
DearDrops Distortion,,,,,
Death,,,,,
Death Bringer: Himerareta Monshou,,,,,
Death Bringer: The Knight of Darkness,,,,,
Death By Cube,,,,,
Death By Degrees,0.05,0.04,,0.01,0.1
Death Coming,,,,,
Death Connection,,,,,
Death Connection Portable,,,0.01,,0.01
Death Crimson,,,,,
Death Crimson 2,,,,,
Death Crimson OX,,,,,
Death Duel,,,,,
Death Gate,,,,,
Death Jr.,0.17,0.0,,0.01,0.19
Death Jr. II: Root of Evil,0.05,0.0,,0.0,0.05
Death Jr. and the Science Fair of Doom,0.08,,,0.01,0.08
Death Jr.: Root of Evil,0.1,0.0,,0.01,0.11
Death Knights of Krynn,,,,,
Death Mark,0.04,,0.04,0.0,0.09
Death Race,,,,,
Death Rally,,,,,
Death Rally (Remake),,,,,
Death Road to Canada,,,,,
Death Squared,,,,,
Death Stranding,,,,,
Death Tank,,,,,
Death Track: Resurrection,,,,,
Death Trap,0.15,0.01,,0.0,0.17
Death Under the Labyrinth,,,,,
Death and the Fly,,,,,
Death end re;Quest,,,0.03,,0.03
Death to Spies,,0.0,,0.0,0.0
Death to Spies: Moment of Truth,,,,,
Death's Gambit,,,,,
DeathKeep,,,,,
DeathSmiles,0.15,0.06,0.05,0.02,0.28
DeathSmiles 2X,,,,,
DeathSmiles II X,,,0.03,,0.03
DeathSpank,,,,,
DeathSpank: Thongs of Virtue,,,,,
Deathbots,,,,,
Deathmatch Classic,,,,,
Deathrow: Underground Team Combat,0.05,0.01,,0.0,0.06
Deathtrap,,,,,
Deathtrap Dungeon,0.19,0.13,,0.02,0.33
Debut 21,,,,,
Deca Sports,,,,,
Deca Sports 2,0.31,0.34,0.09,0.07,0.8
Deca Sports 3,0.14,0.07,,0.02,0.23
Deca Sports DS,0.07,0.02,,0.01,0.1
Deca Sports Extreme,0.08,0.0,0.03,0.01,0.12
Deca Sports Freedom,,,,,
Decap Attack,,,,,
Decathlete,,,0.3,0.0,0.3
Decathletes,,,,,
Decathlon,,,,,
Decathlon 2012,,,,,
Deception III: Dark Delusion,0.02,0.01,,0.0,0.04
Deception IV: Blood Ties,0.05,0.05,0.14,0.03,0.27
Deception IV: The Nightmare Princess,,0.01,,0.0,0.01
Decimation X,,,,,
Decisive Battles of American Civil War Vol. 1,,,,,
Decisive Battles of American Civil War Vol. 2,,,,,
Decisive Battles of American Civil War Vol. 3,,,,,
Decisive Battles of World War II: Korsun Pocket,,,,,
Deemo,,,,,
Deemo: The Last Recital,,,0.0,,0.0
Deep Aquarium: Kiseki no Shinkai,,,,,
Deep Black,,0.0,,0.0,0.01
Deep Blue,,,,,
Deep Blue Sea,,,,,
Deep Duck Trouble Starring Donald Duck,,,,,
Deep Dungeon (FDS),,,,,
Deep Fear,,,0.08,,0.08
Deep Fighter,,,,,
Deep Labyrinth,0.06,,,0.0,0.07
Deep Loot,,,,,
Deep Ones,,,,,
Deep Sea Creatures,,,,,
Deep Sea Trophy Fishing,,,,,
Deep Sea Tycoon,,,,,
Deep Sea Tycoon 2,,,,,
Deep Sea Tycoon: Diver's Paradise,,,,,
Deep Space Dash,,,,,
Deep Space WAIFU,,,,,
Deep Under the Sky,,,,,
Deep Water,,,,,
Deepak Chopra's Leela,0.17,0.060000000000000005,,0.02,0.26
Deer Captor,,,,,
Deer Drive,1.06,0.04,,0.08,1.18
Deer Drive Legends,,,,,
Deer Drive: Legends,0.03,,,0.0,0.03
Deer Hunter,0.14,0.11,,0.04,0.28
Deer Hunter 2014,,,,,
Deer Hunter 5: Tracking Trophies,,,,,
Deer Hunter Reloaded,0.08,,,0.01,0.08
Deer Hunter Tournament,,,,,
Deer Hunting King,,,,,
Def Jam Fight For NY: The Takeover,0.08,0.0,,0.01,0.09
Def Jam Fight for NY: The Takeover,,,,,
Def Jam Icon,0.45999999999999996,0.2,0.0,0.1,0.78
Def Jam Rapstar,0.8200000000000001,0.09,,0.08,0.98
Def Jam Vendetta,1.14,0.79,,0.26,2.19
Def Jam: Fight for NY,1.46,0.8200000000000001,,0.25,2.52
DefCon 5,0.04,0.03,,0.0,0.07
Defend Your Castle,,,,,
Defend Your Life,,,,,
Defend and Defeat: Kingdoms,,,,,
Defend the Fleet - Pearl Harbor,,,,,
Defender,1.34,0.24,,0.060000000000000005,1.6600000000000001
Defender / Joust,,,,,
Defender 2000,,,,,
Defender II,0.42,0.02,,0.0,0.45
Defender of Zorgaba,,,,,
Defender of the Crown,0.0,0.0,,0.0,0.0
Defender's Quest,,,,,
Defenders & Dragons,,,,,
Defenders of Ardania,,0.01,,0.0,0.01
Defenders of Dynatron City,,,,,
Defenders of Oasis,,,,,
Defenders of Time,,,,,
Defendin' De Penguin,0.07,0.0,,0.0,0.07
Defense Grid 2,,,,,
Defense Grid: The Awakening,,,,,
Defense Of Yano,,,,,
Defense Technica,,,,,
Defense Zone,,,,,
Defense Zone 2,,,,,
Defense of the Middle Kingdom,,,,,
Defense: Evolution,,,,,
Defiance,0.19,0.12,,0.06,0.37
Deflector,,,,,
Defoliation,,,,,
Deformers,0.1,,,0.02,0.12
Defy Gravity,,,,,
Defy Gravity Extended,,,,,
Degrees of Separation,,,,,
Deiland,,,,,
Deja Vu,,,,,
Deja Vu II: Lost in Las Vegas,,,,,
Dejiko no Mahjong Party,,,,,
Dejiko no Maibura,,,,,
Dekiru Otoko no Mote Life: Hiru no Mote Kouza Hen,,,,,
Dekiru Otoko no Mote Life: Yoru no Mote Jissen Hen,,,,,
Dekisugi Tingle Pack,,,,,
Dekitayo Mama! Mitsugo no Kuma-San: Onna no Ko,,,,,
Dekitayo Mama! Mitsugo no Kuma-San: Otoko no Ko,,,,,
DekuMama,,,,,
Delbo,,,,,
Delta Force,,,,,
Delta Force 10th Anniversary Collection,,,,,
Delta Force 2,,0.0,,0.0,0.0
Delta Force: Angel Falls,,,,,
Delta Force: Black Hawk Down,0.47,0.24000000000000002,,0.06999999999999999,0.8
Delta Force: Black Hawk Down - Team Sabre,,,,,
Delta Force: Black Hawk Down Platinum Pack,,,,,
Delta Force: Land Warrior,,,,,
Delta Force: Task Force Dagger,,,,,
Delta Force: Urban Warfare,,,,,
Delta Force: Xtreme,,,,,
Delta Force: Xtreme 2,,,,,
Deltora Quest: 7-tsu no Houseki,,,,,
Delve Deeper,,,,,
Delver,,,,,
Dementium II,0.09,0.02,,0.01,0.11
Dementium: The Ward,0.15,0.01,,0.01,0.17
DemiKids: Dark Version,0.02,0.01,,0.0,0.02
DemiKids: Light Version,0.02,0.01,,0.0,0.02
Demigod,,0.02,,0.0,0.02
Demise: Rise of the Ku'Tan,,,,,
Democracy 3,,,,,
Demolition Company: Gold Edition,,0.04,,,0.04
Demolition Girl,,,,,
Demolition Herby,,,,,
Demolition Man,,,,,
Demolition Racer,0.17,0.12,,0.02,0.31
Demolition Racer: No Exit,,,,,
Demon Attack,1.99,0.12,,0.02,2.13
Demon Chaos,,,0.09,,0.09
Demon Driver: Time to Burn Rubber!,0.02,0.01,,0.0,0.03
Demon Gaze,0.04,0.03,0.09,0.02,0.17
Demon Gaze 2,0.05,0.0,0.04,0.01,0.1
Demon Hunter,,,,,
Demon King Box,,,,,
Demon Sword,,,,,
Demon Tribe,,,,,
Demon's Crest,,,,,
Demon's Souls,0.97,0.34,0.35,0.17,1.83
Demon's Winter,,,,,
Demons To Diamonds,,,,,
Dengeki Bunko Fighting Climax,0.12000000000000001,0.0,0.18,0.04,0.33999999999999997
Dengeki Bunko: Fighting Climax Ignition,,,,,
Dengeki Gakuen RPG: Cross of Venus,,,0.05,,0.05
Dengeki Gakuen RPG: Cross of Venus Special,,,0.01,,0.01
Dengeki no Pilot: Tenkuu no Kizuna,,,,,
Dengen Tenshi Taisen Mahjong: Shangri-La,,,,,
Denki Blocks!,0.03,0.01,,0.0,0.04
Denki Groove Jigoku V: SweepStation Version,,,,,
Dennis Miller: That's News to Me,,,,,
Dennis the Menace,,,,,
Dennou Hyouryuu: Multimedia Cruising,,,,,
Dennou Senki Virtual-On Force,,,0.03,,0.03
Dennou Shinpan Kisaragi Sanjikan,,,,,
Denpa Shounen-teki Kenshou Seikatsu: Nasubi no Heya,,,,,
Densetsu no Stafi,,,0.46,0.01,0.47
Densetsu no Stafi 2,,,0.43,0.01,0.44
Densetsu no Stafi 3,,,0.23,0.01,0.24
Densetsu no Stafi 4,,,0.17,,0.17
Densetsu no Yuusha no Densetsu: Legendary Saga,,,0.01,,0.01
Densha De Go!,,,,,
Densha De Go! 2,,,0.38,0.03,0.41
Densha De Go! 3 Tsuukinhen,,,0.06,,0.06
Densha De Go! 64,,,0.05,0.07,0.12
Densha de Go!,,,,,
Densha de Go! 2,,,,,
Densha de Go! EX,,,,,
Densha de Go! Final,,,,,
Densha de Go! Nagoya Tetsudou Hen,,,,,
Densha de Go! Pocket: Chuuousen Hen,,,,,
Densha de Go! Pocket: Osaka Kanjousen Hen,,,,,
Densha de Go! Pocket: Toukaidousen Hen,,,,,
Densha de Go! Pocket: Yamanotesen Hen,,,,,
Densha de Go! Professional 2,,,,,
Densha de Go! Professional Shiyou,,,,,
Densha de Go! Ryojouhen,,,,,
Densha de Go! Shinkansen EX: Sanyou Shinkansen-hen,,,0.02,,0.02
Densha de Go! Shinkansen: Sanyou Shinkansen-hen,,,,,
Densha de Go! Tokubetsu-hen: Fukkatsu Shouwa no Yamatesen,,,0.02,,0.02
Dentaku + TCG-You Tool: Dual Dentaku Custom,,,,,
Deponia,,,,,
Deponia Doomsday,,,,,
Depression Quest,,,,,
Depth Hunter 2: Deep Dive,,,,,
Depths of Betrayal,,,,,
Depths of Fear: Knossos,,,,,
Depths of Peril,,,,,
Der Langrisser,,,,,
Der Langrisser FX,,,,,
Deracine,0.07,,0.01,0.02,0.1
Derby Analyst,,,,,
Derby Dogs,,,,,
Derby Jockey 2,,,0.1,0.0,0.1
Derby Jockey 2001,,,,,
Derby Jockey R,,,,,
Derby Jockey: Kishou e no Michi,,,0.07,,0.07
Derby Owners Club Online,,,,,
Derby Stallion,,,2.05,0.14,2.1799999999999997
Derby Stallion 04,,,0.55,,0.55
Derby Stallion 64,,,0.15,0.0,0.15
Derby Stallion 96,,,1.04,0.01,1.05
Derby Stallion 98,,,0.08,,0.08
Derby Stallion 99,,,1.06,0.07,1.13
Derby Stallion Advance,,,0.12,0.0,0.13
Derby Stallion DS,,,0.32,,0.32
Derby Stallion Gold,,,0.15,,0.15
Derby Stallion II,,,0.87,0.0,0.87
Derby Stallion III,,,1.15,0.0,1.15
Derby Stallion P,,,0.1,,0.1
Derby Stallion Zengokuban,,,,,
Derby Time,,,,,
Derby Time 2006,,,0.03,,0.03
Derby Time Online,,,0.01,,0.01
Derby Tsuku 2,,,,,
Derby Tsuku 3: Derby Uma o Tsukurou!,,,,,
Derby Tsuku 4: Derby Uma o Tsukurou!,,,,,
Derby Tsuku 5: Derby Uma o Tsukurou!,,,0.04,,0.04
Derby Tsuku: Derby Uma o Tsukurou!,,,0.08,0.0,0.08
Derrick the Deathfin,,,,,
Descent,0.11,0.07,,0.01,0.19
Descent (2019),,,,,
Descent 3,,0.0,,0.0,0.0
Descent 3 / Descent 3: Mercenary,,,,,
Descent 3: Mercenary,,,,,
Descent I and II: The Definitive Collection,,,,,
Descent II,,,,,
Descent II: The Infinite Abyss,,,,,
Descent II: The Vertigo Series,,,,,
Descent Maximum,0.05,0.04,,0.01,0.1
Descent to Undermountain,,,,,
Descent: FreeSpace - Battle Pack,,,,,
Descent: FreeSpace - Silent Threat,,,,,
Descent: FreeSpace - The Great War,,,,,
Descent: Levels of the World,,,,,
Desert Bus,,,,,
Desert Child,,,,,
Desert Commander,,,,,
Desert Commando,,,,,
Desert Demolition starring Road Runner and Wile E. Coyote,,,,,
Desert Falcon,0.24,0.01,,0.0,0.26
Desert Kingdom,,,0.01,,0.01
Desert Kingdom Portable,,,0.01,,0.01
Desert Rats vs. Afrika Korps,,,,,
Desert Speedtrap Starring Road Runner and Wile E. Coyote,,,,,
Desert Speedtrap starring Road Runner & Wile E. Coyote,,,,,
Desert Strike,,,,,
Desert Strike Advance,0.05,0.02,,0.0,0.06
Desert Strike: Return to the Gulf,,,,,
Deserted Island,,,,,
Desi Adda: Games of India,,,,,
Desire,,,0.14,,0.14
Desire: Remaster Version,,,0.0,,0.0
Desktop Dungeons,,,,,
Desktop Tower Defense,0.1,,,0.01,0.11
Desolate Wastes: Vendor Chronicles,,,,,
Desperados III,,,,,
Desperados: Wanted Dead or Alive,,0.0,,0.0,0.0
Despicable Me: Minion Rush,,,,,
Despicable Me: The Game,0.26,0.21,,0.07,0.55
Despicable Me: The Game - Minion Mayhem,0.37,0.05,,0.03,0.45
Destert Strike,,,,,
Destination Earthstar,,,,,
Destination: Treasure Island,,,,,
Destiny,6.71,4.08,0.29000000000000004,1.71,12.78
Destiny 2,3.67,1.96,0.1,0.9299999999999999,6.6499999999999995
Destiny 2: Forsaken,0.27,0.17,,0.06999999999999999,0.51
Destiny Connect: Tick Tock Travelers,,,,,
Destiny Links,,,0.01,,0.01
Destiny Warriors RPG,,,,,
Destiny of Spirits,,,,,
Destiny of an Emperor,,,,,
Destiny's Dilemma,,,,,
Destiny: The Collection,0.49,0.52,0.02,0.16,1.19
Destiny: The Taken King,2.37,1.23,0.08,0.59,4.28
Destrega,0.04,0.03,,0.0,0.07
Destroy All Humans!,1.12,0.14,,0.15,1.4
Destroy All Humans! 2,0.4,0.02,,0.07,0.48
Destroy All Humans! Big Willy Unleashed,0.12,0.0,,0.01,0.13
Destroy All Humans! Path of the Furon,0.08,0.12,,0.02,0.22
Destroyer Command,,0.0,,0.0,0.0
Destruction Derby,0.5,0.34,,0.06,0.9
Destruction Derby 2,0.65,0.44,,0.08,1.17
Destruction Derby 64,0.13,0.03,,0.0,0.16
Destruction Derby Arenas,0.06,0.05,,0.02,0.13
Destruction Derby Raw,0.08,0.05,,0.01,0.14
Destructo 2,,,,,
Detana TwinBee Yahho! Deluxe Pack,,,0.21000000000000002,0.01,0.22
Detana!! TwinBee,,,,,
Detective Barbie 2: The Vacation Mystery,,,,,
Detective Barbie: The Mystery Cruise,0.08,0.05,,0.01,0.14
Detective Case and Clown Bot in: Murder in the Hotel Lisbon,,,,,
Detective Conan: Marionette Symphony,,,0.05,,0.05
Detective Conan: Phantom Rhapsody,,,0.04,,0.04
Detective Conan: Prelude from the Past,,,0.09,,0.09
Detective Grimoire,,,,,
Detective Jinguuji Saburo: Ronde Revenge,,,0.02,,0.02
Detective Mouse,,,,,
Detective Opera: Milky Holmes 2,,,0.03,,0.03
Detective Pikachu,0.15,0.17,0.12,0.03,0.47
Detective Saburoo Jinguuji: Ka Dan noo Te & Nazo no Jiken Bo,,,,,
Detention,,,,,
Detonator Organ,,,,,
Detroit Metal City DS: Death Shout,,,,,
Detroit: Become Human,,,,,
Deus,,,,,
Deus Ex,,0.01,,0.0,0.01
Deus Ex Complete,,0.0,,0.0,0.0
Deus Ex GO,,,,,
Deus Ex: Game of the Year Edition,,,,,
Deus Ex: Human Revolution,1.57,1.38,0.09000000000000001,0.43,3.4499999999999997
Deus Ex: Human Revolution - Tactical Enhancement Pack,,,,,
Deus Ex: Human Revolution - The Missing Link,,,,,
Deus Ex: Invisible War,0.25,0.07,,0.01,0.33
Deus Ex: Mankind Divided,0.5,0.51,0.01,0.16,1.18
Deus Ex: The Conspiracy,0.1,0.08,,0.03,0.21
Deus Ex: The Fall,,,,,
Dev Guy,,,,,
Devastation,,,,,
Devastator,,,,,
Devil Band - Rock the Underworld,,,,,
Devil Blood,,,,,
Devil Daggers,,,,,
Devil Dice,0.05,0.03,1.1,0.08,1.26
Devil Kings,0.03,0.03,0.18,0.01,0.25
Devil Man,,,,,
Devil May Cry,,,,,
Devil May Cry 2,,,,,
Devil May Cry 3: Dante's Awakening,,,,,
Devil May Cry 3: Dante's Awakening Special Edition,,0.01,,0.0,0.01
Devil May Cry 4,1.37,0.79,0.42000000000000004,0.33,2.92
Devil May Cry 4 Special Edition,0.01,,0.09,0.0,0.1
Devil May Cry 5,,,,,
Devil May Cry HD Collection,0.14,0.06,0.02,0.03,0.25
Devil May Cry: 5th Anniversary Collection,,,,,
Devil Summoner: Soul Hackers,,,0.45,0.01,0.45999999999999996
Devil Summoner: Soul Hackers - Akuma Zensho Dainishuu,,,,,
Devil Survivor: Over Clock,,,0.03,,0.03
Devil World,,,,,
Devil's Course,,,,,
Devil's Crush,,,,,
Devil's Third,0.03,0.02,,0.0,0.05
DevilMan,,,,,
Devilish,,,,,
Devilish: The Next Possession,,,,,
Dewy's Adventure,0.14,0.0,0.01,0.01,0.16
Dex,,,,,
Dexodonex,,,,,
Dexter's Lab / Powerpuff Girls Bundle,0.0,0.0,,,0.0
Dexter's Lab Chess Challenge,0.14,0.05,,0.0,0.2
Dexter's Laboratory Deesaster Strikes,0.3,0.11,,0.01,0.41
Dexter's Laboratory: Mandark's Lab?,,,,,
Dexterity,,,,,
Dezaemon,,,,,
Dezaemon 2,,,,,
Dezaemon 3D,,,,,
Dezaemon Kids!,,,,,
Dezaemon Plus,,,,,
Di-Gata Defenders,0.06,,,0.0,0.06
DiGiCharat Fantasy,,,,,
DiRT,0.54,1.08,,0.32,1.94
DiRT 2,0.8400000000000001,1.3900000000000001,0.0,0.42,2.65
DiRT 3,0.5,1.1099999999999999,0.02,0.29000000000000004,1.92
DiRT 3: Complete Edition,,,,,
DiRT 3: Monte Carlo,,,,,
DiRT 3: Power and Glory Car Pack,,,,,
DiRT 3: X Games Asia Track Pack,,,,,
DiRT 4,0.21000000000000002,0.41,0.02,0.09000000000000001,0.73
DiRT Jockey: Heavy Equipment Operator,,,,,
DiRT Rally,0.25,0.41,,0.1,0.76
DiRT Rally 2.0,,,,,
DiRT Showdown,0.1,0.25,,0.05,0.41000000000000003
Diablo,0.29,0.19,0.07,0.04,0.58
Diablo II,,,,,
Diablo II: Lord of Destruction,,,,,
Diablo III,,,,,
Diablo III: Eternal Collection,0.38,0.22,0.01,0.06,0.67
Diablo III: Reaper of Souls,,,,,
Diablo III: Ultimate Evil Edition,1.45,1.8,0.08,0.53,3.86
Diablo Immortal,,,,,
Diabolik Lovers,,,0.05,,0.05
Diabolik Lovers: Chaos Lineage,,,,,
Diabolik Lovers: Dark Fate,,,0.04,,0.04
Diabolik Lovers: Lost Eden,,,0.02,,0.02
Diabolik Lovers: Lunatic Parade,,,0.04,,0.04
Diabolik Lovers: More Blood,,,0.06,,0.06
Diabolik Lovers: Vandead Carnival,,,0.03,,0.03
Diabolik: The Original Sin,,0.0,,0.0,0.0
Diamic Days,,,,,
Diamond Dash,,,,,
Diamond Trust of London,,,,,
Diaper Dash,,,,,
Diario: Rebirth Moon Legend,,,,,
Diary Girl,0.01,0.0,,0.0,0.01
Diatomic,,,,,
Dice Dice Fantasia,,,,,
Dice Puzzle,,,,,
Dice de Chocobo,,,,,
Dicing Knight Period,,,,,
Dick Tracy,,,,,
Dick Vitale's Awesome Baby! College Hoops,,,,,
Did It Myself ABC123,,,,,
Diddy Kong Racing,,,,,
Diddy Kong Racing DS,,,,,
Die Hard,,,,,
Die Hard 2: Die Harder,,,,,
Die Hard Arcade,,,,,
Die Hard Trilogy,0.85,0.58,,0.1,1.54
Die Hard Trilogy 2: Viva Las Vegas,0.27,0.18,,0.03,0.49
Die Hard: Nakatomi Plaza,,,,,
Die Hard: Vendetta,0.09,0.02,,0.0,0.12
Die Maus,,,,,
Die Wilden Fussball Kerle: Entscheidung im Teufelstopf,,,,,
Die Wilden Fussball Kerle: Gefahr im Wilde Kerle Land,,,,,
Die by Sword: Limb from Limb,,,,,
Die by the Sword,,,,,
Die for Valhalla!,,,,,
Diego's Build & Rescue,0.07,0.0,,0.01,0.08
Dies Irae: Amantes Amentes,,,0.02,,0.02
Diet Channel,,,,,
Diet Nyuumon Set Undou Kaishou!,,,,,
Dig Dug,1.52,0.1,0.41,0.02,2.05
Dig Dug (Arcade),,,,,
Dig Dug Deeper,,,,,
Dig Dug II (Arcade),,,,,
Dig Dug II: Trouble In Paradise,,,,,
Dig Dug: Digging Strike,0.05,0.0,,0.0,0.06
Dig It Up,,,,,
Dig or Die,,,,,
Digger Dan & Kaboom,,,,,
Digger HD,,,,,
Digger Simulator,,0.01,,0.0,0.01
Digger T. Rock: The Legend of the Lost City,,,,,
Digging Deep: Tap the Blocks,,,,,
Digging for Dinosaurs,0.33,,,0.03,0.36
Diggs Nightcrawler,,,,,
Digi Charat: Digi Communication,,,,,
Digi Communication 2 in 1 Datou! Black Gemagema Dan,,,,,
Digi-Tiles,,,,,
Digimon Adventure,,,0.1,,0.1
Digimon Adventure 02 Zero Two: D1 Tamers,,,,,
Digimon Adventure 02 Zero Two: Tag Tamers,,,,,
Digimon Adventure: Anode Tamer,,,0.28,,0.28
Digimon Adventure: Cathode Tamer,,,,,
Digimon All-Star Rumble,0.11,0.03,,0.03,0.16
Digimon Anode/Cathode Tamer: Veedramon Version,,,,,
Digimon Battle Spirit,,,,,
Digimon Battle Spirit 2,0.11,0.04,,0.0,0.15
Digimon Battle Spirit Ver.1.5,,,,,
Digimon Card Game Ver. WonderSwan Color,,,,,
Digimon Digital Card Battle,0.06,0.04,,0.01,0.11
Digimon Masters,,,,,
Digimon Racing,0.09,0.03,,0.0,0.13
Digimon Rumble Arena,0.01,0.01,,0.0,0.02
Digimon Rumble Arena 2,0.09,0.05,,0.01,0.15
Digimon Story: Cyber Sleuth,0.0,0.1,0.18,0.02,0.29
Digimon Story: Cyber Sleuth - Hacker's Memory,0.05,0.05,0.08,0.02,0.2
Digimon Story: Lost Evolution,,,0.1,,0.1
Digimon Story: Super Xros Wars Blue/Red,,,0.1,,0.1
Digimon Survive,,,,,
Digimon Tamers: Battle Spirit,,,,,
Digimon Tamers: Brave Tamers,,,,,
Digimon Tamers: Digimon Medley,,,,,
Digimon Tamers: Pocket Culumon,,,,,
Digimon Universe: Appli Monsters,,,0.02,,0.02
Digimon World,0.56,0.38,0.28,0.08,1.3
Digimon World 2,0.23,0.16,0.16,0.04,0.58
Digimon World 3,,,,,
Digimon World 4,0.17,0.09,,0.02,0.27
Digimon World Championship,0.0,,0.07,0.0,0.07
Digimon World DS,0.09,,,0.01,0.1
Digimon World DS (JP sales),,,0.23,,0.23
Digimon World Re:Digitize,,,0.22,,0.22
Digimon World Re:Digitize Decode,,,0.09,,0.09
Digimon World: Data Squad,0.12,0.09,,0.03,0.24
Digimon World: Dawn / Dusk,0.12,,0.18,0.01,0.31
Digimon World: Digital Card Arena,,,,,
Digimon World: Next Order,0.13,0.05,0.13,0.04,0.35
Digital Art Gallery: Callad,,,,,
Digital Champ: Battle Boxing,,,,,
Digital Dance Mix Vol. 1: Namie Amuro,,,,,
Digital Devil Story: Megami Tensei,,,,,
Digital Devil Story: Megami Tensei II,,,,,
Digital Dreamware,,,,,
Digital Glider Airman,,,,,
